Ensembl	Name	Biotype	GeneLength	SumExonLength
ENSG00000271681	RP11-1259L22.2	pseudogene	474	474
ENSG00000271682	RP11-393B14.2	pseudogene	351	351
ENSG00000173208	ABCD2	protein_coding	69719	6238
ENSG00000271680	RP11-564A8.8	pseudogene	466	466
ENSG00000173209	AHSA2	protein_coding	13786	8382
ENSG00000187840	EIF4EBP1	protein_coding	30025	1073
ENSG00000163898	LIPH	protein_coding	46352	4122
ENSG00000271689	IGHV1-24	IG_V_gene	496	411
ENSG00000271687	MTND5P10	pseudogene	1809	1809
ENSG00000256028	RP11-197N18.2	processed_transcript	7588	5618
ENSG00000232079	AL035610.1	processed_transcript	89198	3238
ENSG00000256029	RP11-190A12.7	protein_coding	15154	681
ENSG00000271688	IGHD5-12	IG_D_gene	23	23
ENSG00000232077	LINC01031	lincRNA	61209	779
ENSG00000256022	RP11-526P6.1	lincRNA	5220	1418
ENSG00000187847	OR7E25P	pseudogene	910	910
ENSG00000271686	CTD-2230M5.3	pseudogene	820	820
ENSG00000187848	P2RX2	protein_coding	3607	1991
ENSG00000232075	MRPL35P2	pseudogene	511	511
ENSG00000256024	CT476828.6	pseudogene	1623	1619
ENSG00000256025	CACNA1C-AS4	antisense	2943	735
ENSG00000271684	RNVU1-18	snRNA	164	164
ENSG00000232084	LINC01104	lincRNA	43231	3370
ENSG00000207084	SNORA72	snoRNA	132	132
ENSG00000232085	RP11-261C10.4	antisense	4808	488
ENSG00000207082	RNU6-171P	snRNA	107	107
ENSG00000114805	PLCH1	protein_coding	369488	7173
ENSG00000232082	RPS6KA2-IT1	sense_intronic	4721	579
ENSG00000256053	APOPT1	protein_coding	44562	3932
ENSG00000207083	RNU6-22P	snRNA	107	107
ENSG00000232083	RPL31P7	pseudogene	393	393
ENSG00000207080	Y_RNA	misc_RNA	108	108
ENSG00000232080	XXbac-BPG254F23.7	lincRNA	831	831
ENSG00000271649	LINC00904	lincRNA	6915	471
ENSG00000173221	GLRX	protein_coding	71687	6508
ENSG00000207081	RNU6-616P	snRNA	107	107
ENSG00000232081	LARGE-IT1	sense_intronic	1081	558
ENSG00000271647	KRT8P47	pseudogene	1398	1398
ENSG00000256050	RP11-982M15.6	lincRNA	3787	1307
ENSG00000271648	IGHV3-11	IG_V_gene	568	471
ENSG00000207088	SNORA7B	snoRNA	139	139
ENSG00000207089	RNU6-921P	snRNA	107	107
ENSG00000207086	Y_RNA	misc_RNA	107	107
ENSG00000173226	IQCB1	protein_coding	65317	3049
ENSG00000207087	RNU6-242P	snRNA	107	107
ENSG00000173227	SYT12	protein_coding	44086	10830
ENSG00000187870	RNFT1P3	pseudogene	11169	1052
ENSG00000187871	GFRAL	protein_coding	75025	1911
ENSG00000271656	RP11-114N19.5	pseudogene	321	321
ENSG00000271657	RP11-270B14.1	pseudogene	2302	395
ENSG00000271654	RP11-685B14.3	pseudogene	670	670
ENSG00000271655	CTD-2579N5.5	pseudogene	490	490
ENSG00000271652	RP11-168P6.2	pseudogene	376	376
ENSG00000232089	AC011233.2	pseudogene	283	283
ENSG00000271653	RP11-259K5.1	lincRNA	1210	1210
ENSG00000256056	RP11-709A23.2	pseudogene	1579	928
ENSG00000232086	RP11-141J10.1	antisense	4817	337
ENSG00000271650	AL031601.4	pseudogene	394	394
ENSG00000232087	HCFC2P1	pseudogene	1592	1592
ENSG00000256040	PAPPA-AS1	protein_coding	2447	2447
ENSG00000207073	Y_RNA	misc_RNA	101	101
ENSG00000232095	UBQLN1P1	pseudogene	1169	1169
ENSG00000232096	GS1-122H1.3	pseudogene	367	367
ENSG00000256041	RP11-959F10.4	pseudogene	601	601
ENSG00000090382	LYZ	protein_coding	5894	1764
ENSG00000232093	RP11-307C12.11	antisense	928	822
ENSG00000207071	RNU6-1207P	snRNA	107	107
ENSG00000256043	CTSO	protein_coding	29800	2954
ENSG00000207072	RNU6-39P	snRNA	107	107
ENSG00000232091	PNLIPP1	pseudogene	6010	675
ENSG00000173231	TERF1P1	pseudogene	1181	1181
ENSG00000271658	OSCAR	protein_coding	8025	2069
ENSG00000232090	AC016724.6	pseudogene	421	421
ENSG00000173230	GOLGB1	protein_coding	86557	11853
ENSG00000271659	RP11-435O5.4	antisense	476	476
ENSG00000207077	RNU6-1119P	snRNA	108	108
ENSG00000173239	LIPM	protein_coding	17817	1670
ENSG00000207075	Y_RNA	misc_RNA	108	108
ENSG00000173237	C11orf86	protein_coding	1728	1187
ENSG00000207076	RNU6-1113P	snRNA	107	107
ENSG00000271660	RP1-73A14.2	pseudogene	310	310
ENSG00000187862	TTC24	protein_coding	7044	2829
ENSG00000187860	CCDC157	protein_coding	22024	6586
ENSG00000271667	RP11-338I24.1	pseudogene	170	170
ENSG00000256049	PADI6	processed_transcript	29505	2397
ENSG00000187866	FAM122A	protein_coding	3646	3646
ENSG00000271668	RP11-1324A7.2	pseudogene	730	200
ENSG00000271665	RNU12-2P	snRNA	156	156
ENSG00000271666	CTC-523E23.9	pseudogene	583	583
ENSG00000256044	RP11-324E6.4	pseudogene	106	106
ENSG00000232099	ZFP57	protein_coding	8710	2131
ENSG00000271664	RP4-800G7.3	pseudogene	2374	1095
ENSG00000256045	MTRNR2L10	protein_coding	1121	1121
ENSG00000232097	AC079781.8	pseudogene	356	356
ENSG00000187867	PALM3	protein_coding	5795	2533
ENSG00000271661	CTB-87J17.2	pseudogene	880	574
ENSG00000271662	RP11-141C7.3	pseudogene	1327	1070
ENSG00000232098	CTD-2619J13.14	lincRNA	4247	3417
ENSG00000271629	RP11-79J24.1	pseudogene	379	379
ENSG00000271627	RP11-165D20.1	pseudogene	583	583
ENSG00000197210	KB-1592A4.15	lincRNA	9845	4833
ENSG00000271625	PSMA6P4	pseudogene	718	718
ENSG00000271626	RP11-3K24.2	pseudogene	382	382
ENSG00000197213	ZSCAN5B	protein_coding	8351	2059
ENSG00000197214	TCEA1P1	pseudogene	880	880
ENSG00000197217	ENTPD4	protein_coding	71913	7064
ENSG00000246662	LINC00535	antisense	487131	2595
ENSG00000232028	AC007391.2	lincRNA	1458	504
ENSG00000187893	CXXC1P1	pseudogene	46266	3148
ENSG00000232029	TCEB1P15	pseudogene	332	332
ENSG00000232026	XXbac-BPG254F23.7	processed_transcript	831	445
ENSG00000271634	IGHD6-13	IG_D_gene	21	21
ENSG00000232027	RP11-275F13.3	pseudogene	955	955
ENSG00000271635	RP11-68E19.1	pseudogene	1525	1525
ENSG00000232024	LSM12P1	pseudogene	588	588
ENSG00000271632	RP11-496I2.7	pseudogene	517	517
ENSG00000232025	RP1-218B13.1	pseudogene	126	126
ENSG00000232022	RP5-1109J22.1	pseudogene	13393	1914
ENSG00000271630	IGKV2OR2-8	IG_V_pseudogene	300	300
ENSG00000232023	AC009410.1	lincRNA	128135	676
ENSG00000271631	RP11-408O19.5	antisense	610	610
ENSG00000232021	LEF1-AS1	processed_transcript	89312	4799
ENSG00000173250	GPR151	protein_coding	3088	3088
ENSG00000232030	MAGEB6P1	pseudogene	1296	1296
ENSG00000173253	DMRT2	protein_coding	7199	2925
ENSG00000271638	CTC-575C13.2	pseudogene	577	577
ENSG00000271639	RP11-289A15.1	pseudogene	1551	1551
ENSG00000271636	AC239802.2	miRNA	66	66
ENSG00000271637	LENG8-AS1	antisense	4233	1248
ENSG00000173258	ZNF483	protein_coding	52686	5738
ENSG00000197208	SLC22A4	protein_coding	49764	2688
ENSG00000232039	DEFT1P2	pseudogene	1097	421
ENSG00000232037	RP11-26H16.1	pseudogene	483	483
ENSG00000271646	RP11-326I11.3	lincRNA	2503	2503
ENSG00000271643	RP11-10C24.3	lincRNA	1263	1263
ENSG00000232035	RP11-87N24.3	lincRNA	454	157
ENSG00000271644	RP3-365I19.2	pseudogene	111	111
ENSG00000232036	GS1-115G20.2	pseudogene	1325	1325
ENSG00000271641	GAGE12D	protein_coding	7328	527
ENSG00000232034	AC092168.2	sense_intronic	24560	717
ENSG00000271642	RP11-66E20.2	pseudogene	643	643
ENSG00000187889	C1orf168	protein_coding	100893	4633
ENSG00000232031	RP5-991C6.4	sense_intronic	11632	471
ENSG00000232032	AC079781.7	pseudogene	169	169
ENSG00000271640	AC245036.1	miRNA	72	72
ENSG00000232040	SCAND3	protein_coding	44583	5824
ENSG00000271609	CTB-31N19.4	pseudogene	308	308
ENSG00000173261	PLAC8L1	protein_coding	19984	656
ENSG00000232041	PSMD10P3	pseudogene	448	448
ENSG00000271607	RP3-418A9.3	pseudogene	592	311
ENSG00000271608	RP11-697G4.4	pseudogene	190	190
ENSG00000173264	GPR137	protein_coding	19439	4031
ENSG00000271605	MILR1	protein_coding	3192	920
ENSG00000271606	RP11-27G13.5	pseudogene	141	141
ENSG00000197233	OR1J2	protein_coding	942	942
ENSG00000173262	SLC2A14	protein_coding	78637	5575
ENSG00000173269	MMRN2	protein_coding	33942	5334
ENSG00000197238	HIST1H4J	protein_coding	374	374
ENSG00000173267	SNCG	protein_coding	4643	1247
ENSG00000256019	TAS2R63P	pseudogene	925	925
ENSG00000232048	HNRNPCP9	pseudogene	859	859
ENSG00000271612	HSPE1P14	pseudogene	721	302
ENSG00000232049	OR2I1P	pseudogene	948	948
ENSG00000271613	KIR3DL2	protein_coding	16765	1877
ENSG00000232046	AC007392.3	lincRNA	156128	1607
ENSG00000256018	HIST1H3G	protein_coding	467	467
ENSG00000271611	RP4-813F11.3	pseudogene	144	144
ENSG00000232044	LINC01105	processed_transcript	68589	5029
ENSG00000256011	RP11-392P7.7	antisense	1240	369
ENSG00000232045	EHMT2	protein_coding	17936	7289
ENSG00000232042	RP11-45J1.1	pseudogene	400	400
ENSG00000256013	RP11-27M24.1	antisense	2643	533
ENSG00000256014	AL031390.1	pseudogene	77	75
ENSG00000232043	RP4-530I15.9	antisense	7067	4587
ENSG00000173272	MZT2A	protein_coding	27844	4093
ENSG00000271618	RP11-175G14.2	pseudogene	182	182
ENSG00000232050	CTA-125H2.3	pseudogene	144	144
ENSG00000271619	AC243962.1	miRNA	70	70
ENSG00000173275	ZNF449	protein_coding	18357	5330
ENSG00000271616	RP11-578F21.13	pseudogene	564	259
ENSG00000173276	ZBTB21	protein_coding	23557	8062
ENSG00000173273	TNKS	protein_coding	226433	14186
ENSG00000271614	LINC00936	lincRNA	3632	3632
ENSG00000271615	CTD-2026C7.1	pseudogene	10625	1701
ENSG00000197223	C1D	protein_coding	69819	3581
ENSG00000197226	TBC1D9B	protein_coding	45794	11473
ENSG00000246695	RASSF8-AS1	antisense	20437	3981
ENSG00000256008	RP11-728G15.1	antisense	11487	625
ENSG00000232059	RP11-173A6.2	pseudogene	291	291
ENSG00000256004	RP11-20D14.4	pseudogene	898	572
ENSG00000271623	RP11-435I10.5	pseudogene	634	634
ENSG00000256005	AC093734.1	pseudogene	1563	1559
ENSG00000271624	RP11-651K21.1	pseudogene	844	844
ENSG00000232057	AC093390.1	antisense	4256	3403
ENSG00000256006	AC084117.3	sense_intronic	1123	270
ENSG00000271621	RP11-60E8.3	pseudogene	388	388
ENSG00000256007	ARAP1-AS1	antisense	8734	388
ENSG00000232058	AC005772.2	lincRNA	37472	976
ENSG00000271622	IGHD5-24	IG_D_gene	20	20
ENSG00000232056	AC092687.4	protein_coding	7379	389
ENSG00000256001	RP11-575F12.2	lincRNA	1461	616
ENSG00000271620	IGHV3OR16-7	IG_V_pseudogene	463	360
ENSG00000232053	AC009784.3	lincRNA	344502	1285
ENSG00000232054	NPM1P34	pseudogene	893	893
ENSG00000246627	CACNA1C-AS1	antisense	15200	2639
ENSG00000173166	RAPH1	protein_coding	141066	11696
ENSG00000173163	COMMD1	protein_coding	258524	2730
ENSG00000197134	ZNF257	protein_coding	39029	5029
ENSG00000197136	PCNXL3	protein_coding	21667	7972
ENSG00000207026	RNU6-472P	snRNA	107	107
ENSG00000207027	SNORA67	snoRNA	149	149
ENSG00000207024	Y_RNA	misc_RNA	102	102
ENSG00000207025	Y_RNA	misc_RNA	102	102
ENSG00000207022	SNORA51	snoRNA	124	124
ENSG00000207023	RNU6-975P	snRNA	105	105
ENSG00000207020	Y_RNA	misc_RNA	102	102
ENSG00000207021	Y_RNA	misc_RNA	113	113
ENSG00000222663	RNU4-55P	snRNA	137	137
ENSG00000222664	RN7SKP123	misc_RNA	291	291
ENSG00000222666	U3	snoRNA	212	212
ENSG00000207029	RNU6-43P	snRNA	107	107
ENSG00000222667	RNU6-394P	snRNA	107	107
ENSG00000016402	IL20RA	protein_coding	45191	4673
ENSG00000173171	MTX1	protein_coding	5126	3278
ENSG00000197121	PGAP1	protein_coding	94793	12761
ENSG00000197122	SRC	protein_coding	61366	6531
ENSG00000197123	ZNF679	protein_coding	38458	1567
ENSG00000173175	ADCY5	protein_coding	167463	8873
ENSG00000197124	ZNF682	protein_coding	42449	4968
ENSG00000197125	OR8B8	protein_coding	1033	1033
ENSG00000207016	SNORA36C	snoRNA	132	132
ENSG00000207013	RNU6-804P	snRNA	107	107
ENSG00000207014	SNORD116-3	snoRNA	95	95
ENSG00000197128	ZNF772	protein_coding	10908	6096
ENSG00000207011	RNY4P13	misc_RNA	96	96
ENSG00000207012	RNU6-72P	snRNA	106	106
ENSG00000207010	RNU6-1295P	snRNA	103	103
ENSG00000222670	CU459211.1	miRNA	139	139
ENSG00000207019	RNU6-167P	snRNA	106	106
ENSG00000222675	RNA5SP146	rRNA	123	123
ENSG00000222677	AL513123.1	miRNA	97	97
ENSG00000222678	RN7SKP213	misc_RNA	298	298
ENSG00000271601	AC243547.1	protein_coding	24596	3830
ENSG00000271602	KRT8P49	pseudogene	1432	1432
ENSG00000222679	RNU6-1267P	snRNA	107	107
ENSG00000271600	RP11-864G5.8	pseudogene	241	241
ENSG00000197150	ABCB8	protein_coding	19360	9339
ENSG00000197153	HIST1H3J	protein_coding	2792	842
ENSG00000197157	SND1	protein_coding	440428	6500
ENSG00000207004	RNU6-301P	snRNA	107	107
ENSG00000207005	RNU1-2	snRNA	164	164
ENSG00000207002	SNORA5	snoRNA	131	131
ENSG00000207003	RNU6-611P	snRNA	104	104
ENSG00000207000	RNU6-820P	snRNA	107	107
ENSG00000207001	SNORD116-2	snoRNA	95	95
ENSG00000246640	RP11-1094H24.4	lincRNA	5391	2533
ENSG00000222682	RNA5SP38	rRNA	119	119
ENSG00000222683	AC093004.1	miRNA	118	118
ENSG00000222685	RN7SKP119	misc_RNA	273	273
ENSG00000207008	SNORA54	snoRNA	123	123
ENSG00000207009	Y_RNA	misc_RNA	110	110
ENSG00000222686	RNU4-72P	snRNA	173	173
ENSG00000232009	RP11-571E6.4	pseudogene	2340	1005
ENSG00000232006	AC005537.2	processed_transcript	105416	2532
ENSG00000207007	RNU6-891P	snRNA	111	111
ENSG00000232007	POLR2LP	pseudogene	187	187
ENSG00000232004	CAP1P2	pseudogene	1409	1409
ENSG00000232005	PBX2	protein_coding	5443	4427
ENSG00000232002	AC093642.6	lincRNA	36444	561
ENSG00000232003	ZNF736P12Y	pseudogene	1243	1243
ENSG00000232000	RP11-54D18.3	pseudogene	159100	2803
ENSG00000232001	AC108868.6	lincRNA	1284	511
ENSG00000197140	ADAM32	protein_coding	177922	10044
ENSG00000148291	SURF2	protein_coding	4618	1008
ENSG00000173193	PARP14	protein_coding	50223	10495
ENSG00000197142	ACSL5	protein_coding	54363	4318
ENSG00000173198	CYSLTR1	protein_coding	56088	5431
ENSG00000148297	MED22	protein_coding	9827	7242
ENSG00000197146	AL133458.1	pseudogene	2299	2298
ENSG00000148296	SURF6	protein_coding	5684	2684
ENSG00000197147	LRRC8B	protein_coding	73029	8074
ENSG00000197149	RP11-452G18.2	pseudogene	882	882
ENSG00000148290	SURF1	protein_coding	4943	1761
ENSG00000222691	RNU6-733P	snRNA	104	104
ENSG00000222692	AC007402.1	miRNA	97	97
ENSG00000222693	RN7SKP120	misc_RNA	341	341
ENSG00000232019	AC074183.4	lincRNA	897	782
ENSG00000222698	Y_RNA	misc_RNA	95	95
ENSG00000232017	ZNF90P2	pseudogene	1075	1075
ENSG00000232018	AL132709.8	lincRNA	6532	1342
ENSG00000232015	HSPE1P25	pseudogene	539	251
ENSG00000232013	AC107021.1	protein_coding	1799	1799
ENSG00000232014	MTND1P13	pseudogene	1513	587
ENSG00000232011	HLA-W	pseudogene	1975	771
ENSG00000232010	AP001059.5	antisense	708	523
ENSG00000207062	SNORA15	snoRNA	135	135
ENSG00000197172	MAGEA6	protein_coding	3612	1863
ENSG00000207063	SNORD116-1	snoRNA	95	95
ENSG00000207060	RNU6-480P	snRNA	107	107
ENSG00000207061	Y_RNA	misc_RNA	102	102
ENSG00000197176	RP11-76E12.1	lincRNA	54012	1938
ENSG00000197177	GPR123	protein_coding	60747	6503
ENSG00000207068	RNU6-463P	snRNA	107	107
ENSG00000207069	Y_RNA	misc_RNA	102	102
ENSG00000207067	SNORA72	snoRNA	132	132
ENSG00000207065	RNU5A-2P	snRNA	116	116
ENSG00000222623	RNU6-1100P	snRNA	104	104
ENSG00000222624	RNU2-15P	snRNA	191	191
ENSG00000148288	GBGT1	protein_coding	10993	3708
ENSG00000222626	RNU2-48P	snRNA	191	191
ENSG00000222627	RNU2-37P	snRNA	177	177
ENSG00000222629	RNU2-42P	snRNA	113	113
ENSG00000197170	PSMD12	protein_coding	28712	5364
ENSG00000197171	OR2B4P	pseudogene	943	943
ENSG00000197161	OR4C4P	pseudogene	7100	937
ENSG00000207051	SNORA27	snoRNA	126	126
ENSG00000207052	RNU6-378P	snRNA	107	107
ENSG00000197162	ZNF785	protein_coding	12032	4340
ENSG00000197165	SULT1A2	protein_coding	5167	2275
ENSG00000197168	NEK5	protein_coding	92122	3612
ENSG00000207058	RNU6-784P	snRNA	106	106
ENSG00000207056	RNU1-8P	snRNA	165	165
ENSG00000207053	RNU6-937P	snRNA	106	106
ENSG00000222630	RN7SKP41	misc_RNA	305	305
ENSG00000222631	AC025426.1	miRNA	91	91
ENSG00000222635	RNU6-1203P	snRNA	110	110
ENSG00000222636	RN7SKP54	misc_RNA	269	269
ENSG00000207041	RNU6-3P	snRNA	107	107
ENSG00000207049	Y_RNA	misc_RNA	102	102
ENSG00000207046	RNU6-886P	snRNA	105	105
ENSG00000207047	SNORD51	snoRNA	80	80
ENSG00000207044	RNU6-1226P	snRNA	107	107
ENSG00000207045	RNU6-532P	snRNA	107	107
ENSG00000207042	RNU6-196P	snRNA	107	107
ENSG00000222640	RNU2-51P	snRNA	197	197
ENSG00000222643	AL603632.1	miRNA	118	118
ENSG00000222644	RNU2-16P	snRNA	136	136
ENSG00000222647	AC002070.1	miRNA	104	104
ENSG00000222649	Y_RNA	misc_RNA	95	95
ENSG00000197191	C9orf169	protein_coding	1677	1297
ENSG00000124299	PEPD	protein_coding	134845	4157
ENSG00000197183	C20orf112	protein_coding	142015	9448
ENSG00000197185	SSXP1	pseudogene	5227	476
ENSG00000207037	RNU6-339P	snRNA	107	107
ENSG00000207036	Y_RNA	misc_RNA	102	102
ENSG00000207033	RNU6-154P	snRNA	106	106
ENSG00000207034	Y_RNA	misc_RNA	117	117
ENSG00000207031	SNORD59A	snoRNA	75	75
ENSG00000207032	Y_RNA	misc_RNA	109	109
ENSG00000222650	RNU2-70P	snRNA	179	179
ENSG00000222651	MIR1469	miRNA	47	47
ENSG00000222652	RNU6-248P	snRNA	107	107
ENSG00000207039	Y_RNA	misc_RNA	102	102
ENSG00000222658	Y_RNA	misc_RNA	97	97
ENSG00000222659	RNU2-8P	snRNA	190	190
ENSG00000197180	BX936347.1	pseudogene	259	255
ENSG00000197181	PIWIL2	protein_coding	82267	5751
ENSG00000197182	FLJ27365	protein_coding	60060	5728
ENSG00000065413	ANKRD44	protein_coding	344157	9228
ENSG00000124279	FASTKD3	protein_coding	9879	2857
ENSG00000124275	MTRR	protein_coding	54840	6498
ENSG00000148248	SURF4	protein_coding	14646	3229
ENSG00000100294	MCAT	protein_coding	11189	2388
ENSG00000016490	CLCA1	protein_coding	31922	3340
ENSG00000100292	HMOX1	protein_coding	13854	2405
ENSG00000100290	BIK	protein_coding	18965	953
ENSG00000065427	KARS	protein_coding	20920	3815
ENSG00000100299	ARSA	protein_coding	5426	2938
ENSG00000100297	MCM5	protein_coding	25368	7338
ENSG00000100298	APOBEC3H	protein_coding	6844	1251
ENSG00000100296	THOC5	protein_coding	49338	7878
ENSG00000124251	TP53TG5	protein_coding	34004	1717
ENSG00000138892	TTLL8	protein_coding	41813	2707
ENSG00000222601	Y_RNA	misc_RNA	89	89
ENSG00000124257	NEURL2	protein_coding	2663	1301
ENSG00000148225	WDR31	protein_coding	27077	4933
ENSG00000222602	AL136160.1	miRNA	91	91
ENSG00000222604	SNORA7	snoRNA	95	95
ENSG00000124253	PCK1	protein_coding	5378	5164
ENSG00000148229	POLE3	protein_coding	3438	2604
ENSG00000222607	RNU6-628P	snRNA	107	107
ENSG00000222608	RNA5SP504	rRNA	117	117
ENSG00000124256	ZBP1	protein_coding	16731	5413
ENSG00000222609	RNU4-69P	snRNA	143	143
ENSG00000124260	MAGEA10	protein_coding	5252	2882
ENSG00000148219	ASTN2	protein_coding	989845	8290
ENSG00000222610	RNU6-402P	snRNA	103	103
ENSG00000222611	AL355388.1	miRNA	82	82
ENSG00000222612	RNU2-52P	snRNA	190	190
ENSG00000222613	Y_RNA	misc_RNA	103	103
ENSG00000222614	Y_RNA	misc_RNA	108	108
ENSG00000222615	AC134025.1	miRNA	103	103
ENSG00000222616	RN7SKP27	misc_RNA	333	333
ENSG00000148218	ALAD	protein_coding	15017	5170
ENSG00000222617	RN7SKP254	misc_RNA	310	310
ENSG00000148215	OR5C1	protein_coding	1088	1088
ENSG00000065457	ADAT1	protein_coding	26320	4486
ENSG00000090402	SI	protein_coding	99598	6138
ENSG00000148200	NR6A1	protein_coding	254036	7124
ENSG00000124237	C20orf85	protein_coding	10247	803
ENSG00000100266	PACSIN2	protein_coding	179734	4545
ENSG00000124232	RBPJL	protein_coding	10313	1840
ENSG00000148204	CRB2	protein_coding	24155	6349
ENSG00000124233	SEMG1	protein_coding	2776	1662
ENSG00000100263	RHBDD3	protein_coding	8358	3014
ENSG00000100258	LMF2	protein_coding	4760	3071
ENSG00000124249	KCNK15	protein_coding	5255	1320
ENSG00000100253	MIOX	protein_coding	3865	1796
ENSG00000124243	BCAS4	protein_coding	82284	2084
ENSG00000100280	AP1B1	protein_coding	95500	6721
ENSG00000100281	HMGXB4	protein_coding	38356	6006
ENSG00000124217	MOCS3	protein_coding	2458	2458
ENSG00000124214	STAU1	protein_coding	75027	4092
ENSG00000124215	CDH26	protein_coding	75596	5759
ENSG00000100288	CHKB	protein_coding	22507	3021
ENSG00000124216	SNAI1	protein_coding	5888	1686
ENSG00000100284	TOM1	protein_coding	48718	5869
ENSG00000124212	PTGIS	protein_coding	64273	5579
ENSG00000100285	NEFH	protein_coding	11161	3783
ENSG00000100271	TTLL1	protein_coding	49913	1877
ENSG00000138867	GUCD1	protein_coding	15498	4514
ENSG00000124228	DDX27	protein_coding	24731	5405
ENSG00000124224	PPP4R1L	protein_coding	78308	7106
ENSG00000124225	PMEPA1	protein_coding	63145	5619
ENSG00000124226	RNF114	protein_coding	17482	2440
ENSG00000124227	ANKRD60	protein_coding	10159	1038
ENSG00000100276	RASL10A	protein_coding	6747	2240
ENSG00000124222	STX16	protein_coding	28255	5089
ENSG00000065491	TBC1D22B	protein_coding	75199	3462
ENSG00000163918	RFC4	protein_coding	17179	2997
ENSG00000163913	IFT122	protein_coding	80231	9395
ENSG00000163914	RHO	protein_coding	6530	2592
ENSG00000114988	LMAN2L	protein_coding	34136	2709
ENSG00000163915	C3orf65	protein_coding	17260	3415
ENSG00000114982	KANSL3	protein_coding	49618	9015
ENSG00000100347	SAMM50	protein_coding	55111	6435
ENSG00000100348	TXN2	protein_coding	14995	2050
ENSG00000100345	MYH9	protein_coding	106737	8959
ENSG00000124313	IQSEC2	protein_coding	88465	6962
ENSG00000100346	CACNA1I	protein_coding	118985	10849
ENSG00000163923	RPL39L	protein_coding	59961	1060
ENSG00000090447	TFAP4	protein_coding	15890	7867
ENSG00000100344	PNPLA3	protein_coding	40750	3232
ENSG00000100341	PNPLA5	protein_coding	12336	2544
ENSG00000100342	APOL1	protein_coding	14521	3519
ENSG00000114978	MOB1A	protein_coding	26371	6454
ENSG00000138964	PARVG	protein_coding	46578	8677
ENSG00000100336	APOL4	protein_coding	15715	4375
ENSG00000163931	TKT	protein_coding	31346	9507
ENSG00000163932	PRKCD	protein_coding	36709	3396
ENSG00000100335	MIEF1	protein_coding	18701	7555
ENSG00000163933	RFT1	protein_coding	41980	5488
ENSG00000100330	MTMR3	protein_coding	147712	9903
ENSG00000163930	BAP1	protein_coding	9338	5055
ENSG00000163939	PBRM1	protein_coding	140566	9654
ENSG00000100360	IFT27	protein_coding	18055	8009
ENSG00000187904	AC097382.5	sense_overlapping	3618	591
ENSG00000187905	AC002472.13	protein_coding	18209	5542
ENSG00000163935	SFMBT1	protein_coding	143179	5676
ENSG00000187908	DMBT1	protein_coding	83072	8073
ENSG00000090432	MUL1	protein_coding	8712	2436
ENSG00000163938	GNL3	protein_coding	13337	3318
ENSG00000100368	CSF2RB	protein_coding	26822	5061
ENSG00000100365	NCF4	protein_coding	17028	1759
ENSG00000163945	UVSSA	protein_coding	40784	7830
ENSG00000100364	KIAA0930	protein_coding	50432	10019
ENSG00000187912	CLEC17A	protein_coding	28074	2265
ENSG00000100362	PVALB	protein_coding	18796	1050
ENSG00000163946	FAM208A	protein_coding	63105	9824
ENSG00000163947	ARHGEF3	protein_coding	351912	6594
ENSG00000065485	PDIA5	protein_coding	158166	4030
ENSG00000114999	TTL	protein_coding	59586	15732
ENSG00000138942	RNF185	protein_coding	46838	3447
ENSG00000138944	KIAA1644	protein_coding	69185	6751
ENSG00000114993	RTKN	protein_coding	16587	5005
ENSG00000100359	SGSM3	protein_coding	39699	4770
ENSG00000124302	CHST8	protein_coding	151554	3052
ENSG00000100354	TNRC6B	protein_coding	290992	19998
ENSG00000163956	LRPAP1	protein_coding	26184	8724
ENSG00000187902	SHISA7	protein_coding	14124	6083
ENSG00000163950	SLBP	protein_coding	19756	2026
ENSG00000100353	EIF3D	protein_coding	18587	4070
ENSG00000187900	OR5H7P	pseudogene	930	930
ENSG00000100350	FOXRED2	protein_coding	19912	5577
ENSG00000100351	GRAP2	protein_coding	72640	6190
ENSG00000256195	RP11-64D24.4	antisense	19411	3837
ENSG00000114948	ADAM23	protein_coding	177589	6418
ENSG00000256196	RP11-881M11.4	antisense	6929	864
ENSG00000256197	TSPAN9-IT1	sense_intronic	1680	562
ENSG00000163958	ZDHHC19	protein_coding	13989	2432
ENSG00000163959	SLC51A	protein_coding	31692	5293
ENSG00000256192	RP11-290I21.2	pseudogene	354	354
ENSG00000256193	LINC00507	lincRNA	36181	2167
ENSG00000114942	EEF1B2	protein_coding	3344	1915
ENSG00000100307	CBX7	protein_coding	32508	7461
ENSG00000100304	TTLL12	protein_coding	20512	4622
ENSG00000163964	PIGX	protein_coding	96233	4446
ENSG00000100302	RASD2	protein_coding	13134	3412
ENSG00000100300	TSPO	protein_coding	11729	1455
ENSG00000163960	UBXN7	protein_coding	84813	11291
ENSG00000163961	RNF168	protein_coding	34986	5347
ENSG00000256199	RP11-439H13.2	lincRNA	26473	712
ENSG00000187918	OR51I2	protein_coding	1070	1070
ENSG00000256185	RP11-612B6.2	lincRNA	1087	172
ENSG00000256186	AL732372.1	pseudogene	91	90
ENSG00000114933	INO80D	protein_coding	92583	14373
ENSG00000256181	AP000438.4	pseudogene	421	421
ENSG00000256182	AL590325.1	pseudogene	361	357
ENSG00000090487	SPG21	protein_coding	27287	3984
ENSG00000163975	MFI2	protein_coding	41196	8393
ENSG00000256188	TAS2R30	protein_coding	1687	1687
